country,year,ae_ton_arts
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,34.56857
nor,2009,35.5027
nor,2010,46.5947
nor,2011,40.83839
nor,2012,36.09852
nor,2013,37.04439
nor,2014,32.79919
nor,2015,33.65594
nor,2016,37.57207
nor,2017,41.67873
nor,2018,42.31714
nor,2019,36.15463
nor,2020,29.10296
nor,2021,44.47272
nor,2022,43.57758
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,884.27596
pol,2009,907.05422
pol,2010,998.07808
pol,2011,996.75524
pol,2012,959.11739
pol,2013,904.50582
pol,2014,942.42181
pol,2015,1003.20917
pol,2016,600.51575
pol,2017,575.35151
pol,2018,523.21086
pol,2019,530.93869
pol,2020,524.24572
pol,2021,613.82431
pol,2022,584.0686
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,74.9038
prt,2009,78.4646
prt,2010,68.1584
prt,2011,60.8617
prt,2012,58.5387
prt,2013,62.2429
prt,2014,65.7688
prt,2015,63.5385
prt,2016,66.8765
prt,2017,62.971
prt,2018,66.7458
prt,2019,74.039
prt,2020,66.3098
prt,2021,70.6327
prt,2022,64.90491
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,110.37173
rou,2009,110.49867
rou,2010,110.0089
rou,2011,109.62253
rou,2012,112.35027
rou,2013,116.80518
rou,2014,120.76794
rou,2015,124.34775
rou,2016,132.75518
rou,2017,143.04029
rou,2018,147.00886
rou,2019,149.06252
rou,2020,145.83901
rou,2021,154.17941
rou,2022,149.6718
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,142.75943
svk,2009,153.26161
svk,2010,165.85925
svk,2011,140.24543
svk,2012,149.95787
svk,2013,155.66493
svk,2014,135.28392
svk,2015,138.56758
svk,2016,125.43088
svk,2017,145.23071
svk,2018,122.53769
svk,2019,128.86351
svk,2020,126.43464
svk,2021,141.51765
svk,2022,135.58947
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,50.03003
svn,2009,56.79573
svn,2010,56.43444
svn,2011,54.25661
svn,2012,53.28341
svn,2013,54.89708
svn,2014,32.97998
svn,2015,35.45547
svn,2016,41.53191
svn,2017,39.03767
svn,2018,37.34749
svn,2019,37.47855
svn,2020,44.60355
svn,2021,41.71942
svn,2022,43.66227
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,444.79362
esp,2009,483.32239
esp,2010,584.25974
esp,2011,609.94601
esp,2012,549.07087
esp,2013,450.86512
esp,2014,369.58011
esp,2015,355.03848
esp,2016,365.16965
esp,2017,411.94838
esp,2018,395.41979
esp,2019,370.61415
esp,2020,367.75228
esp,2021,403.02182
