country,year,ae_ton_house
che,2009,0
che,2010,0
che,2011,0
che,2012,0
che,2013,0
che,2014,0
che,2015,0
che,2016,0
che,2017,0
che,2018,0
che,2019,0
che,2020,0
che,2021,0
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
gbr,1990,
gbr,1991,
gbr,1992,
gbr,1993,
gbr,1994,
gbr,1995,
gbr,1996,
gbr,1997,
gbr,1998,
gbr,1999,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,50.1
gbr,2009,38
gbr,2010,50.4
gbr,2011,48.4
gbr,2012,47.3
gbr,2013,41.8
gbr,2014,46.3
gbr,2015,42.5
gbr,2016,51.7
gbr,2017,46.2
gbr,2018,47.5
gbr,2019,47.7
gbr,2020,31.6
gbr,2021,40.7
gbr,2022,40.4
gbr,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,107.15896
eu_three,2009,111.81223
eu_three,2010,114.71308
eu_three,2011,106.26006
eu_three,2012,107.62977
eu_three,2013,109.2629
eu_three,2014,136.18137
eu_three,2015,149.80957
eu_three,2016,197.39561
eu_three,2017,231.03395
eu_three,2018,239.53452
eu_three,2019,242.36083
eu_three,2020,198.7367
eu_three,2021,234.90628
eu_three,2022,238.73133
eu_three,2023,
