country,year,ae_cap_const
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,128.86334
eu_three,2009,119.37683
eu_three,2010,117.94826
eu_three,2011,121.72247
eu_three,2012,116.29512
eu_three,2013,114.06121
eu_three,2014,110.88503
eu_three,2015,111.45277
eu_three,2016,112.30198
eu_three,2017,113.75067
eu_three,2018,115.15403
eu_three,2019,115.76119
eu_three,2020,108.83769
eu_three,2021,120.80584
eu_three,2022,114.65826
eu_three,2023,
