country,year,ae_ton_air
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,116481.81973
eu_three,2009,107130.61101
eu_three,2010,115425.83555
eu_three,2011,117616.9442
eu_three,2012,115394.93319
eu_three,2013,115574.53598
eu_three,2014,117256.0574
eu_three,2015,120330.65508
eu_three,2016,122623.29596
eu_three,2017,129260.27741
eu_three,2018,134359.26293
eu_three,2019,141285.19094
eu_three,2020,62125.0353
eu_three,2021,74705.1079
eu_three,2022,105368.86501
eu_three,2023,
