country,year,ggas_cap_air
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,229.49524
esp,2009,207.06851
esp,2010,213.19841
esp,2011,223.48919
esp,2012,207.74389
esp,2013,202.20997
esp,2014,215.36834
esp,2015,235.62532
esp,2016,247.79974
esp,2017,258.29803
esp,2018,276.14235
esp,2019,291.11658
esp,2020,106.90622
esp,2021,151.5366
esp,2022,249.19035
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,250.89447
swe,2009,210.5932
swe,2010,208.93913
swe,2011,224.46516
swe,2012,213.69939
swe,2013,217.41899
swe,2014,218.60533
swe,2015,214.1789
swe,2016,256.28816
swe,2017,259.2375
swe,2018,243.28372
swe,2019,229.39889
swe,2020,87.72441
swe,2021,104.0757
swe,2022,116.29329
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,646.68315
che,2009,589.49806
che,2010,583.17769
che,2011,659.11313
che,2012,692.97885
che,2013,692.25974
che,2014,698.87147
che,2015,730.23642
che,2016,731.10753
che,2017,733.21331
che,2018,767.95927
che,2019,796.09712
che,2020,263.83614
che,2021,324.26751
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,265.10096
eu_three,2009,243.24294
eu_three,2010,261.71199
eu_three,2011,267.15314
eu_three,2012,261.72278
eu_three,2013,261.50514
eu_three,2014,264.52242
eu_three,2015,270.87173
eu_three,2016,275.45448
eu_three,2017,289.90478
eu_three,2018,300.81194
eu_three,2019,316.05852
eu_three,2020,138.87457
eu_three,2021,167.1612
eu_three,2022,235.70707
eu_three,2023,
