country,year,ae_ton_land
prt,2005,
prt,2006,
prt,2007,
prt,2008,4711.3833
prt,2009,4595.9098
prt,2010,4759.902
prt,2011,4424.3201
prt,2012,4114.3446
prt,2013,4020.077
prt,2014,4151.4591
prt,2015,4145.5244
prt,2016,4201.6407
prt,2017,4152.2361
prt,2018,3996.0182
prt,2019,3907.3438
prt,2020,3083.3547
prt,2021,3473.7208
prt,2022,3657.06009
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,5892.29615
rou,2009,4625.57892
rou,2010,4446.60856
rou,2011,4501.89181
rou,2012,4388.49223
rou,2013,4649.08872
rou,2014,4546.25988
rou,2015,4781.22691
rou,2016,5336.76354
rou,2017,5661.55217
rou,2018,5759.50059
rou,2019,6001.5494
rou,2020,5527.31312
rou,2021,5848.82718
rou,2022,5563.41223
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,4525.75953
svk,2009,3732.06013
svk,2010,3578.78661
svk,2011,3353.24535
svk,2012,2955.44134
svk,2013,3028.08504
svk,2014,2885.56805
svk,2015,3345.44439
svk,2016,3330.96149
svk,2017,3366.02518
svk,2018,3370.79509
svk,2019,3094.93807
svk,2020,1881.51932
svk,2021,1956.04998
svk,2022,2025.68824
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,554.91343
svn,2009,509.71459
