country,year,ae_ton_admin
swe,2011,527.7348
swe,2012,499.14768
swe,2013,532.52847
swe,2014,468.60015
swe,2015,481.46823
swe,2016,469.02101
swe,2017,460.791
swe,2018,474.76559
swe,2019,488.49592
swe,2020,455.69064
swe,2021,468.09502
swe,2022,414.65436
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,304.33971
che,2009,309.76903
che,2010,319.40273
che,2011,307.91487
che,2012,306.34111
che,2013,297.25514
che,2014,308.72168
che,2015,305.77377
che,2016,295.15261
che,2017,301.77219
che,2018,292.33268
che,2019,287.09352
che,2020,278.4136
che,2021,329.087
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
gbr,1990,
gbr,1991,
gbr,1992,
gbr,1993,
gbr,1994,
gbr,1995,
gbr,1996,
gbr,1997,
gbr,1998,
gbr,1999,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,3649.2
gbr,2009,3234.5
gbr,2010,3336.2
gbr,2011,3233.4
gbr,2012,3346.4
gbr,2013,3278.7
gbr,2014,3244.8
gbr,2015,3355.6
gbr,2016,3497.2
gbr,2017,3453.9
gbr,2018,3413
gbr,2019,3392.2
gbr,2020,3007.1
gbr,2021,3278.3
gbr,2022,3295.8
gbr,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,22860.57716
eu_three,2009,21723.77989
eu_three,2010,22200.35997
eu_three,2011,21398.83278
eu_three,2012,20749.84616
eu_three,2013,20742.18443
eu_three,2014,20164.99893
eu_three,2015,20800.93127
eu_three,2016,27129.65838
eu_three,2017,24647.0772
eu_three,2018,27121.18021
eu_three,2019,25980.62166
eu_three,2020,23761.51711
eu_three,2021,25723.12107
eu_three,2022,25013.76893
eu_three,2023,
